NBHD,LIVEAREA,FINBSMNT,BASEMENT,CONDITION,CONDITION_ADJ,QUALITY,NOCARS,NUMBDRM,NUMBATHS,NETPRICE
715,2558,0,0,Good,1,B,0,2,3,1025000
711,3176,250,313,Good,1,B,5,4,3,852000
712,3179,1474,1972,AVG,0,B,2,4,4,730611
713,2291,2176,2291,Good,1,B,2,2,3,675000
713,2740,1020,1396,Good,1,B,2,3,4,655000
711,2618,884,1474,AVG,0,B,3,3,3,599300
712,2406,1535,2354,AVG,0,B,2,2,4,594099
715,2231,0,0,Good,1,B,0,2,3,590000
712,2700,0,1332,AVG,0,B,3,4,3,586500
712,3199,1474,1972,AVG,0,B,2,4,4,578300
711,2410,873,873,AVG,0,B,2,3,4,572000
712,2684,0,1332,AVG,0,B,3,4,3,562023
712,2585,0,1841,AVG,0,B,2,3,3,549200
711,2476,0,0,AVG,0,B,2,3,3,540000
713,2512,1102,1328,Good,1,B,2,2,4,540000
717,2288,1232,1322,Good,1,B,2,4,4,527200
713,2291,2062,2291,AVG,0,B,2,2,3,526824
713,2291,1144,2291,Good,1,B,2,2,3,525000
711,2289,1081,1201,AVG,0,B,2,3,4,521900
711,1923,916,964,Good,1,B,2,2,3,515000
713,1864,1145,1245,Good,1,B,2,2,4,510000
711,2255,774,1290,AVG,0,B,2,3,3,504000
715,1999,0,0,AVG,0,B,0,2,3,502500
712,2473,0,1410,AVG,0,B,2,2,3,487500
716,2703,677,713,Good,1,B,2,4,4,486000
716,2925,742,742,Good,1,B,2,3,3,485000
713,1828,1235,1300,Good,1,B,2,2,3,480000
711,2250,874,1248,AVG,0,B,2,3,3,475000
715,1568,0,0,AVG,0,B,0,2,2,450000
712,2289,684,1015,AVG,0,B,2,4,4,449100
713,2509,1511,1679,AVG,0,B,2,3,4,445900
715,1551,0,0,AVG,0,B,0,2,2,440000
716,2756,905,1392,AVG,0,B,2,4,3,437500
713,1828,1300,1300,AVG,0,B,2,2,3,435000
713,1828,1300,1300,Good,1,B,2,2,3,428800
712,2102,1052,1169,AVG,0,B,2,3,4,420000
717,2288,1232,1322,Good,1,B,2,4,4,420000
716,2844,0,739,AVG,0,B,2,5,3,417500
716,2844,0,739,AVG,0,B,2,5,3,417000
715,1560,0,0,AVG,0,B,0,2,2,412500
711,3010,351,717,AVG,0,B,2,3,4,411170
715,2841,0,0,Good,1,B,0,2,3,405900
715,2841,0,0,Good,1,B,0,2,3,405900
715,2841,0,0,Good,1,B,0,2,3,405900
713,2509,1511,1679,AVG,0,B,2,3,4,405000
712,2819,1811,1906,AVG,0,B,2,3,5,400000
715,1551,0,0,AVG,0,B,0,2,2,399000
711,2093,1195,1386,AVG,0,B,2,2,3,395000
712,2311,0,1465,AVG,0,B,2,2,3,393500
715,1551,0,0,AVG,0,B,0,2,2,388500
713,1851,872,872,AVG,0,B,2,2,3,388000
712,2819,0,1906,AVG,0,B,2,3,4,388000
712,1727,0,0,AVG,0,B,0,2,2,385000
718,1778,575,607,Good,1,B,2,3,3,385000
717,2204,0,556,Good,1,B,5,4,3,384878
715,1560,0,0,AVG,0,B,0,2,2,384000
718,1750,948,1053,AVG,0,B,3,3,3,383000
711,1976,0,934,AVG,0,B,2,3,3,383000
715,1551,0,0,AVG,0,B,0,2,2,375000
714,2098,600,631,Good,1,B,2,4,3,375000
711,1745,700,800,AVG,0,B,2,3,3,373309
710,1450,1220,1358,Good,1,C,2,3,3,370000
715,1560,0,0,AVG,0,B,0,2,2,370000
716,2201,400,556,Good,1,B,2,4,3,369900
717,2224,728,971,AVG,0,B,2,5,3,366201
715,2558,0,0,Good,1,B,0,2,3,365500
715,1607,0,0,AVG,0,B,0,2,2,365000
717,2247,949,949,AVG,0,B,2,4,4,363500
712,1727,0,0,AVG,0,B,0,2,2,362500
717,2204,556,556,Good,1,B,2,4,3,362500
712,1722,0,0,AVG,0,B,0,2,2,360000
715,1731,0,0,AVG,0,B,0,2,2,360000
717,1931,550,645,Good,1,B,2,3,3,360000
710,1280,1080,1280,Good,1,C,2,3,3,359000
715,2841,0,0,Good,1,B,0,2,3,358200
714,2274,0,461,AVG,0,B,1,4,3,357800
713,2512,0,1328,AVG,0,B,2,2,3,357250
710,1553,1214,1349,Good,1,C,2,3,3,357000
717,2006,600,624,AVG,0,B,2,4,3,357000
717,2201,0,556,Good,1,B,2,3,3,356800
717,2066,595,663,AVG,0,B,2,3,4,355440
715,1731,0,0,AVG,0,B,0,2,2,355000
713,2166,0,1771,AVG,0,B,2,2,2,355000
711,2672,0,0,Good,1,B,2,4,3,354685
717,2201,0,556,AVG,0,B,2,3,3,354000
717,2216,500,556,AVG,0,B,2,4,3,351000
713,1864,0,1245,AVG,0,B,2,2,3,350000
713,1931,970,970,AVG,0,B,2,2,4,350000
713,2306,675,1225,AVG,0,B,2,2,4,350000
713,2512,1062,1328,AVG,0,B,2,2,4,350000
713,2597,1356,1428,AVG,0,B,2,2,3,350000
713,1828,1235,1300,AVG,0,B,2,2,3,347000
710,1450,1290,1358,Good,1,C,2,3,3,346000
717,2111,629,629,AVG,0,B,2,4,3,345000
718,2181,1445,1606,AVG,0,B,3,3,4,343931
715,2841,0,0,Good,1,B,0,2,3,343900
718,2201,556,556,AVG,0,B,2,4,4,340945
717,2020,610,815,AVG,0,B,2,3,3,340000
717,2201,528,556,AVG,0,B,2,4,4,340000
717,2201,473,556,AVG,0,B,2,4,3,340000
710,1280,1150,1280,Good,1,C,2,3,3,337900
717,2066,595,663,AVG,0,B,2,3,3,337500
712,2473,0,1410,AVG,0,B,2,2,3,336000
710,1438,850,1349,Good,1,C,2,3,3,335000
717,2224,0,971,AVG,0,B,2,4,3,334000
714,1925,784,980,AVG,0,B,2,3,3,333000
715,3103,0,0,Good,1,B,0,2,3,332500
710,1283,1103,1283,Good,1,C,2,3,3,332140
714,2090,475,639,AVG,0,B,2,4,3,331159
712,2473,1270,1412,AVG,0,B,2,2,4,331000
717,2111,629,629,AVG,0,B,2,4,3,330000
713,1020,801,1002,Good,1,B,2,1,3,329900
712,1722,0,0,AVG,0,B,0,2,2,329900
714,2202,0,770,AVG,0,B,2,3,3,329500
710,1280,1152,1280,Good,1,C,2,3,3,329000
717,1931,480,645,AVG,0,B,2,3,4,327500
714,2368,0,0,AVG,0,B,3,5,3,327500
719,2719,0,0,AVG,0,C,2,4,3,327000
712,1722,0,0,AVG,0,B,0,2,2,325000
717,1770,559,746,AVG,0,B,2,3,3,325000
716,1940,0,774,AVG,0,B,2,4,3,325000
712,2122,448,896,AVG,0,B,2,3,4,325000
716,2186,0,903,AVG,0,B,2,4,3,325000
714,2223,747,747,AVG,0,B,2,4,3,325000
717,1863,680,775,AVG,0,B,3,4,3,322500
716,2201,473,556,AVG,0,B,2,4,3,322500
713,1682,756,796,AVG,0,B,2,2,4,320000
713,1851,0,872,AVG,0,B,2,2,2,320000
713,2740,0,1396,AVG,0,B,2,3,3,319500
715,1537,0,0,AVG,0,B,0,2,2,319000
715,2231,0,0,Good,1,B,0,2,3,318800
715,2231,0,0,Good,1,B,0,2,3,318800
719,1227,1166,1227,AVG,0,C,2,3,3,316550
712,1933,692,921,AVG,0,B,2,2,3,316000
713,2512,1102,1328,Good,1,B,2,2,4,315000
715,1560,0,0,AVG,0,B,0,2,2,311500
715,1109,0,0,AVG,0,B,0,1,1,310000
715,1109,0,0,AVG,0,B,0,1,1,310000
719,1316,1184,1316,AVG,0,C,2,3,3,308000
718,1918,607,759,AVG,0,B,2,4,3,305600
717,1918,0,759,AVG,0,B,2,4,3,303000
716,2264,354,708,AVG,0,B,2,4,3,302000
719,1227,1165,1227,AVG,0,C,2,3,3,301252
717,1541,676,676,AVG,0,B,3,3,3,300000
713,1828,1040,1300,AVG,0,B,2,2,3,300000
713,2512,0,1328,AVG,0,B,2,3,3,300000
718,2764,423,853,AVG,0,B,4,5,3,299000
717,1931,572,645,AVG,0,B,3,3,4,296500
719,1316,1184,1316,AVG,0,C,2,3,3,296000
713,2064,375,913,AVG,0,B,2,2,3,295200
717,1918,0,759,AVG,0,B,2,4,3,295000
713,1617,883,929,AVG,0,B,2,2,3,294650
715,1990,0,0,Good,1,B,0,2,2,292900
717,1931,0,645,AVG,0,B,2,3,3,292800
714,2769,0,0,AVG,0,B,2,4,3,292000
717,1918,680,759,AVG,0,B,2,4,3,291969
715,1990,0,0,Good,1,B,0,2,2,291300
714,2024,753,837,AVG,0,B,2,4,4,290000
717,1562,0,1097,AVG,0,B,2,3,2,289700
713,1481,406,428,AVG,0,B,2,2,3,289000
713,2166,1417,1771,AVG,0,B,2,2,2,289000
714,2203,0,0,AVG,0,B,2,3,3,289000
717,1816,700,756,AVG,0,B,2,3,3,288666
712,1933,830,922,AVG,0,B,2,2,3,287000
713,2821,643,999,AVG,0,B,2,4,4,286040
715,1494,0,0,AVG,0,B,0,2,2,285000
714,1631,0,956,AVG,0,B,2,3,2,285000
717,1817,583,630,AVG,0,B,2,3,3,285000
713,1824,0,0,AVG,0,C,0,2,2,284500
718,2201,556,556,AVG,0,B,4,4,3,282000
718,2224,874,971,AVG,0,B,2,5,4,282000
717,2201,445,556,AVG,0,B,2,4,3,279000
710,1438,1282,1349,AVG,0,C,2,3,3,278900
718,2201,556,556,AVG,0,B,2,4,3,278000
718,2201,0,556,AVG,0,B,2,4,3,276500
719,1225,1165,1225,AVG,0,C,3,3,3,275500
710,1439,1214,1349,AVG,0,C,2,3,3,275000
713,1509,663,737,AVG,0,B,2,2,3,275000
718,2201,222,556,AVG,0,B,2,4,3,275000
710,1283,1220,1283,AVG,0,C,2,3,3,274900
717,2198,760,949,AVG,0,B,2,4,3,272500
715,1990,0,0,Good,1,B,0,2,2,271400
713,1509,584,737,AVG,0,B,2,2,3,270000
714,1878,0,983,AVG,0,B,3,4,2,270000
718,2201,0,556,AVG,0,B,2,4,3,270000
713,2388,0,970,AVG,0,B,2,4,3,267245
712,1933,0,921,AVG,0,B,2,2,3,267000
710,1283,1219,1283,AVG,0,C,2,3,3,265780
710,1283,1026,1283,AVG,0,C,2,3,2,265000
713,1521,466,491,AVG,0,B,2,2,4,265000
718,2201,556,556,AVG,0,B,2,4,3,264000
714,1264,632,1264,AVG,0,B,2,3,3,263500
710,1379,1026,1283,AVG,0,C,2,3,3,260930
710,1960,1026,1282,AVG,0,C,2,4,4,260000
717,2006,600,624,AVG,0,B,2,4,3,260000
713,2383,687,981,AVG,0,B,2,4,4,257050
713,2067,414,1367,AVG,0,B,2,2,2,255000
717,2224,825,971,AVG,0,B,2,4,3,255000
713,2512,531,1328,AVG,0,B,2,3,3,254900
714,1256,880,1256,AVG,0,B,2,3,3,253400
717,1546,522,668,AVG,0,B,3,3,3,253170
715,1109,0,0,AVG,0,B,0,1,1,252900
718,1912,588,747,AVG,0,B,2,4,3,252500
717,2204,556,556,Good,1,B,2,4,3,251000
712,1933,0,922,AVG,0,B,2,2,3,250900
713,1775,0,642,AVG,0,B,2,2,2,250000
717,2201,528,556,AVG,0,B,2,4,4,250000
714,1981,0,0,AVG,0,B,2,4,2,249000
719,1164,1114,1114,AVG,0,C,2,3,2,245000
710,1930,945,1349,AVG,0,C,2,3,3,245000
715,1568,0,0,AVG,0,B,0,2,2,243700
717,1988,0,663,AVG,0,B,3,3,3,242384
717,2204,0,556,Good,1,B,5,4,3,241983
718,2201,0,556,AVG,0,B,2,4,3,241551
719,1753,1133,1193,AVG,0,C,2,3,3,240285
712,1064,0,0,AVG,0,B,0,1,2,240000
715,1109,0,0,AVG,0,B,0,1,1,240000
719,1227,980,1227,AVG,0,C,2,3,3,240000
715,1109,0,0,AVG,0,B,0,1,1,237900
715,1768,0,0,AVG,0,B,0,2,2,236600
712,1064,0,0,AVG,0,B,0,1,2,235000
717,1931,480,645,AVG,0,B,2,3,4,235000
715,1768,0,0,AVG,0,B,0,2,2,233600
710,1280,896,1280,AVG,0,C,2,3,3,233500
719,2269,0,0,AVG,0,C,2,2,2,233350
716,2906,0,348,AVG,0,B,2,5,3,230891
715,1537,0,0,AVG,0,B,0,2,2,230000
714,2098,600,631,Good,1,B,2,4,3,226700
713,1020,952,1002,AVG,0,B,2,1,3,225000
714,1334,0,1400,AVG,0,B,2,3,2,225000
713,1521,0,491,AVG,0,B,2,2,3,225000
713,1824,0,0,AVG,0,C,0,2,2,225000
715,1109,0,0,AVG,0,B,0,1,1,224500
719,1234,0,1234,AVG,0,C,2,3,2,224500
713,2330,1045,1161,AVG,0,C,2,3,4,223880
715,1768,0,0,AVG,0,B,0,2,2,221700
715,1109,0,0,AVG,0,B,0,1,1,221000
710,1283,650,1283,AVG,0,C,2,3,3,219000
715,1768,0,0,AVG,0,B,0,2,2,218200
713,1788,0,0,AVG,0,C,0,2,2,217000
719,2292,0,0,AVG,0,C,2,4,2,215000
718,2201,556,556,AVG,0,B,2,4,4,214900
715,1551,0,0,AVG,0,B,0,2,2,213000
715,1551,0,0,AVG,0,B,0,2,2,212700
710,1283,1170,1283,AVG,0,C,2,3,3,212080
713,2393,677,1011,AVG,0,B,2,2,3,212000
713,1788,0,0,AVG,0,C,0,2,2,210000
713,1665,0,993,AVG,0,B,2,4,2,208900
710,1450,1232,1358,AVG,0,C,4,3,3,207500
713,1481,0,428,AVG,0,B,2,2,3,205000
715,1551,0,0,AVG,0,B,0,2,2,203800
715,1551,0,0,AVG,0,B,0,2,2,202900
715,1551,0,0,AVG,0,B,0,2,2,202600
712,1331,0,0,AVG,0,B,0,2,2,202500
712,1331,0,0,AVG,0,B,0,2,2,202500
715,1551,0,0,AVG,0,B,0,2,2,201400
715,1607,0,0,AVG,0,B,0,2,2,195500
713,1903,0,0,AVG,0,C,0,2,2,193525
715,1768,0,0,AVG,0,B,0,2,2,192200
715,1000,0,0,AVG,0,B,0,1,1,190000
712,1064,0,0,AVG,0,B,0,1,2,190000
714,1631,0,956,AVG,0,B,2,3,2,190000
713,1682,756,796,AVG,0,B,2,2,4,190000
715,1000,0,0,AVG,0,B,0,1,1,189900
710,1553,1214,1349,Good,1,C,2,3,3,180000
716,2201,400,556,Good,1,B,2,4,3,176000
715,1000,0,0,AVG,0,B,0,1,1,171000
710,1847,1147,1349,AVG,0,C,2,3,2,170000
715,1537,0,0,AVG,0,B,0,2,2,168000
715,1607,0,0,AVG,0,B,0,2,2,164700
715,1537,0,0,AVG,0,B,0,2,2,159700
715,1537,0,0,AVG,0,B,0,2,2,159100
710,1280,896,1280,AVG,0,C,2,3,3,155573
715,1537,0,0,AVG,0,B,0,2,2,154900
715,1109,0,0,AVG,0,B,0,1,1,153300
712,1061,0,0,AVG,0,B,0,1,2,152880
715,1607,0,0,AVG,0,B,0,2,2,151100
710,1283,0,1283,AVG,0,C,2,3,2,147000
715,532,0,0,AVG,0,B,0,0,1,137000
717,2284,1232,1332,Good,1,B,2,4,5,130000
710,1280,1150,1280,Good,1,C,2,3,3,117500
715,532,0,0,AVG,0,B,0,0,1,117000
715,532,0,0,AVG,0,B,0,0,1,108000
715,532,0,0,AVG,0,B,0,0,1,102900
711,2672,0,0,Good,1,B,2,4,3,30000